branch,source_token,phonographic_classes
ReF,nit,N I T
ReF,was,W A S
ReF,thuͦ,T H U
ReF,on,O N
ReF,ſynt,S I N T
ReF,bo‍rt,P O R T
ReF,alles,A L E S
ReF,vnwerde,F N W E R T E
ReF,ſolt,S O L T
ReF,hwͤbe,H W P E
ReF,guͦtte,K U T E
ReF,mein,M E I N
ReF,getaun,K E T A U N
ReF,vf‍f,F
ReF,in,I N
ReF,ſtüll,S T U L
ReF,der,T E R
ReF,myt,M I T
ReF,vnd,F N T
ReF,vnd,F N T
ReF,gethan,K E T H A N
ReF,keyſer,K E I S E R
ReF,wort,W O R T
ReF,Moiſi,M O I S I
ReF,in,I N
ReF,haben,H A P E N
ReF,vnd,F N T
ReF,der,T E R
ReF,Jt̄,J T
ReF,menſchē,M E N SH E
ReF,as,A S
ReF,genāt,K E N A T
ReF,noch,N O X
ReF,ein,E I N
ReF,halben,H A L P E N
ReF,gezu͗ge,K E T S U K E
ReF,mit,M I T
ReF,vns,F N S
ReF,warumb,W A R U M P
ReF,vor,F O R
ReF,ein,E I N
ReF,gedancken,K E T A N K E N
ReF,menſchen,M E N SH E N
ReF,manendaygh,M A N E N T A I K H
ReF,do,T O
ReF,nicht,N I X T
ReF,küſſ,K U S
ReF,mocht,M O X T
ReF,vn̄,F N
ReF,ſchuld,SH U L T
ReF,das,T A S
ReF,p‍ruͦffte,P R U F T E
ReF,habn̄,H A P N
ReF,Ziehen,T S I E H E N
ReF,bilden,P I L T E N
ReF,gemacht,K E M A X T
ReF,lyp,L I P
ReF,weſen,W E S E N
ReF,fründe,F R U N T E
ReF,gedîngē,K E T I N K E
ReF,hewtt,H E W T
ReF,auch,A U X
ReF,zû,T S U
ReF,den,T E N
ReF,vp,F P
ReF,daran,T A R A N
ReF,mich,M I X
ReF,ſagen,S A K E N
ReF,lew͗t,L E W T
ReF,ſin,S I N
ReF,ſemlich,S E M L I X
ReF,ga‍eb,K A E P
ReF,gern̄,K E R N
ReF,Vor,F O R
ReF,das,T A S
ReF,guter,K U T E R
ReF,ſleych,S L E I X
ReF,ain,A I N
ReF,vber,F P E R
ReF,ewch,E W X
ReF,dem,T E M
ReF,ringvmb,R I N K F M P
ReF,ſchier,SH I E R
ReF,dír,T I R
ReF,plunder,P L U N T E R
ReF,ez,E T S
ReF,meinūge,M E I N U K E
ReF,vff,F
ReF,die,T I E
ReF,gemutē,K E M U T E
ReF,ſchar,SH A R
ReF,eynen,E I N E N
ReF,üelt,U E L T
ReF,vnd,F N T
ReF,der,T E R
ReF,her,H E R
ReF,Iaſon,I A S O N
ReF,tage,T A K E
ReF,ſyn,S I N
ReF,rot,R O T
ReF,íſt,I S T
ReF,meynt,M E I N T
ReF,f⑩ia,F I A
ReF,Moraliter,M O R A L I T E R
ReF,Rakewic‍zer,R A K E W I K T S E R
ReF,Vnd,F N T
ReF,heýnt,H E I N T
ReN,winninghe,W I N I N K H E
ReN,se,S E
ReN,myt,M I T
ReN,gheleyue,K H E L E I U E
ReN,holdet,H O L T E T
ReN,Wanne,W A N E
ReN,off,O F
ReN,deme,T E M E
ReN,scole,S K O L E
ReN,weder,W E T E R
ReN,se,S E
ReN,myne,M I N E
ReN,mit,M I T
ReN,brassers,P R A S E R S
ReN,de=me,T E M E
ReN,leuent,L E U E N T
ReN,"
          to
        ",T O
ReN,dat,T A T
ReN,an,A N
ReN,se,S E
ReN,De,T E
ReN,vo=te,F O T E
ReN,dem,T E M
ReN,datum,T A T U M
ReN,weliken,W E L I K E N
ReN,dinen,T I N E N
ReN,hadden,H A T E N
ReN,de,T E
ReN,wer,W E R
ReN,behelden,P E H E L T E N
ReN,der,T E R
ReN,alleyn,A L E I N
ReN,Were,W E R E
ReN,den,T E N
ReN,eynen,E I N E N
ReN,wedder,W E T E R
ReN,em,E M
ReN,ninerhande,N I N E R H A N T E
ReN,vnde,F N T E
ReN,entpheid,E N T F E I T
ReN,hadde,H A T E
ReN,nummer,N U M E R
ReN,dure,T U R E
ReN,gehandelt,K E H A N T E L T
ReN,noch,N O X
ReN,entfangen,E N T F A N K E N
ReN,alz,A L T S
ReN,sanctum,S A N K T U M
ReN,wart,W A R T
ReN,mit,M I T
ReN,"
          wynachten
        ",W I N A X T E N
ReN,de,T E
ReN,schal,SH A L
ReN,it,I T
ReN,Ackers,A K E R S
ReN,belenet,P E L E N E T
ReN,radet,R A T E T
ReN,sik,S I K
ReN,ghelost,K H E L O S T
ReN,wyl,W I L
ReN,sulue,S U L U E
ReN,de,T E
ReN,hylghen,H I L K H E N
ReN,don,T O N
ReN,bouen,P O U E N
ReN,mel,M E L
ReN,mechtich,M E X T I X
ReN,ghuderen,K H U T E R E N
ReN,des,T E S
ReN,iij,I I J
ReN,sust,S U S T
ReN,mines,M I N E S
ReN,to,T O
ReN,iaer,I A E R
ReN,ik,I K
ReN,de,T E
ReN,heuet,H E U E T
ReN,myn,M I N
ReN,myt,M I T
ReN,myt,M I T
ReN,nicht,N I X T
ReN,vnde,F N T E
ReN,vns,F N S
ReN,hefst,H E F S T
ReN,dat,T A T
ReN,"
          slanghe
        ",S L A N K H E
ReN,Jt,J T
ReN,tosamende,T O S A M E N T E
ReN,nuͤtte,N U T E
ReN,edder,E T E R
ReN,dy,T I
ReN,dat,T A T
ReN,geysten,K E I S T E N
ReN,synen,S I N E N
ReN,to,T O
ReN,Juͦmbermer,J U M P E R M E R
ReN,ewige,E W I K E
ReN,so,S O
ReN,dat,T A T
ReN,den,T E N
ReN,"
          vredebrake
        ",F R E T E P R A K E
ReN,rechte,R E X T E
ReN,beleghen,P E L E K H E N
ReN,he,H E
ReN,men,M E N
ReN,noch,N O X
ReN,sin,S I N
ReN,vnde,F N T E
ReN,si,S I
ReN,mark,M A R K
ReN,willen,W I L E N
ReN,de,T E
ReN,vnde,F N T E
ReN,ok,O K
ReN,He,H E
ReN,tijd,T I J T
ReN,schal,SH A L
ReN,laten,L A T E N
ReN,de,T E
ReN,my,M I
ReN,druttich,T R U T I X
ReN,vordreuen,F O R T R E U E N
ReN,vnde,F N T E
ReN,vletes,F L E T E S
ReN,er,E R
ReN,rente,R E N T E
ReN,Dat,T A T
ReN,vnde,F N T E
ReN,myn,M I N
ReN,voruolget,F O R U O L K E T
ReN,hee,H E E
ReN,my,M I
ReN,sik,S I K
ReN,zynd,T S I N T
ReN,twen,T W E N
ReN,dar,T A R
ReN,vnde,F N T E
ReN,de,T E
ReN,to,T O
ReN,mit,M I T
ReN,mede,M E T E
ReN,dat,T A T
ReN,"
          Sunt
        ",S U N T
ReN,Jn,J N
ReN,leue,L E U E
ReN,voer,F O E R
ReN,ghenomen,K H E N O M E N
ReN,mark,M A R K
ReN,dar,T A R
ReN,ander,A N T E R
ReN,sal,S A L
ReN,rechte,R E X T E
ReN,em,E M
ReN,bote,P O T E
ReN,Winnet,W I N E T
ReN,vrucht,F R U X T
ReN,vnde,F N T E
ReN,vorspen,F O R S P E N
ReN,andere,A N T E R E
ReN,ane,A N E
ReN,vntuchtyghen,F N T U X T I K H E N
ReN,dar,T A R
ReN,Des,T E S
ReN,meer,M E E R
ReN,iuwe,I U W E
ReN,dat,T A T
ReN,der,T E R
ReN,Cuͦmpane,K U M P A N E
ReN,ribbe,R I P E
ReN,heren,H E R E N
ReN,van,F A N
ReN,een,E E N
ReN,Do,T O
ReN,he,H E
ReN,hirnamals,H I R N A M A L S
ReN,deel,T E E L
ReN,hir,H I R
ReN,der,T E R
ReN,In,I N
ReN,erue,E R U E
ReN,ik,I K
ReN,vake,F A K E
ReN,een,E E N
ReN,vnde,F N T E
ReN,eyn,E I N
ReN,fabule,F A P U L E
ReN,del,T E L
ReN,Also,A L S O
ReN,penninge,P E N I N K E
ReN,horen,H O R E N
ReN,schal,SH A L
ReN,eynen,E I N E N
ReN,Jtem,J T E M
ReN,Jn,J N
ReN,wyf,W I F
ReN,seen,S E E N
ReN,iuw,I U W
ReN,stemmen,S T E M E N
ReN,der,T E R
ReN,Albania,A L P A N I A
BFM,de,T E
BFM,l',L
BFM,quant,K A N T
BFM,de,T E
BFM,elle,E L L E
BFM,acolees,A K O L E E S
BFM,devotement,T E F O T E M E N T
BFM,subjectz,S U P SH E K T S
BFM,eschaperez,E S SH A P E R E S
BFM,de,T E
BFM,plus,P L U S
BFM,pas,P A S
BFM,il,I L
BFM,par,P A R
BFM,dittez,T I T T E S
BFM,avecques,A F E K K E S
BFM,present,P R E S E N T
BFM,e,E
BFM,me,M E
BFM,vont,F O N T
BFM,de,T E
BFM,Matefelon,M A T E F E L O N
BFM,hayne,H A I N E
BFM,ceste,S E S T E
BFM,cousins,K O U S I N S
BFM,a,A
BFM,aulcuns,A U L K U N S
BFM,vostre,F O S T R E
BFM,la,L A
BFM,tels,T E L S
BFM,que,K E
BFM,filz,F I L S
BFM,seroit,S E R O I T
BFM,et,E T
BFM,a,A
BFM,Aprez,A P R E S
BFM,jours,SH O U R S
BFM,fait,F A I T
BFM,jours,SH O U R S
BFM,a,A
BFM,la,L A
BFM,li,L I
BFM,jugié,SH U SH I E
BFM,en,E N
BFM,la,L A
BFM,a,A
BFM,que,K E
BFM,Et,E T
BFM,et,E T
BFM,rue,R U E
BFM,à,A
BFM,mais,M A I S
BFM,fait,F A I T
BFM,ou,O U
BFM,a,A
BFM,et,E T
BFM,oeil,O E I L
BFM,mais,M A I S
BFM,tente,T E N T E
BFM,qui,K I
BFM,grans,K R A N S
BFM,aussi,A U S S I
BFM,bien,P I E N
BFM,Ce,S E
BFM,à,A
BFM,se,S E
BFM,le,L E
BFM,et,E T
BFM,fenmes,F E N M E S
BFM,justes,SH U S T E S
BFM,de,T E
BFM,raconte,R A K O N T E
BFM,ses,S E S
BFM,de,T E
BFM,personnes,P E R S O N N E S
BFM,l',L
BFM,est,E S T
BFM,nous,N O U S
BFM,de,T E
BFM,prestz,P R E S T S
BFM,la,L A
BFM,et,E T
BFM,qu',K
BFM,point,P O I N T
BFM,pouvre,P O U F R E
BFM,tenues,T E N U E S
BFM,entrasmes,E N T R A S M E S
BFM,pour,P O U R
BFM,en,E N
BFM,est,E S T
BFM,en,E N
BFM,filles,F I L L E S
BFM,A,A
BFM,cappitaine,K A P P I T A I N E
BFM,car,K A R
BFM,car,K A R
BFM,Sainct,S A I N K T
BFM,avoit,A F O I T
BFM,en,E N
BFM,Dyable,T I A P L E
BFM,monseignor,M O N S E I NY O R
BFM,qu',K
BFM,si,S I
BFM,tendoient,T E N T O I E N T
BFM,par,P A R
BFM,et,E T
BFM,la,L A
BFM,sembloit,S E M P L O I T
BFM,duc,T U S
BFM,plus,P L U S
BFM,de,T E
BFM,ce,S E
BFM,Davantaige,T A F A N T A I SH E
BFM,une,U N E
BFM,qui,K I
BFM,desplaisance,T E S P L A I S A N S E
BFM,en,E N
BFM,soixante,S O I K S A N T E
BFM,homme,H O M M E
BFM,l',L
BFM,envoiierent,E N F O I I E R E N T
BFM,euls,E U L S
BFM,trouverent,T R O U F E R E N T
BFM,feu,F E U
BFM,que,K E
BFM,Anjou,A N SH O U
BFM,chascun,SH A S K U N
BFM,archiers,A R SH I E R S
BFM,a,A
BFM,leurs,L E U R S
BFM,guerre,K U E R R E
BFM,.j.,SH
BFM,ceste,S E S T E
BFM,De,T E
BFM,la,L A
BFM,eulx-mesmes,E U L K S M E S M E S
BFM,si,S I
BFM,coustume,K O U S T U M E
BFM,chevaliers,SH E F A L I E R S
BFM,aucun,A U K U N
BFM,n',N
BFM,parties,P A R T I E S
BFM,a,A
BFM,sceust,S S E U S T
BFM,grant,K R A N T
BFM,on,O N
BFM,que,K E
BFM,a,A
BFM,autre,A U T R E
BFM,proufit,P R O U F I T
BFM,et,E T
BFM,tenoit,T E N O I T
BFM,vivant,F I F A N T
BFM,le,L E
BFM,place,P L A S E
BFM,envyron,E N F I R O N
BFM,devant,T E F A N T
BFM,Angleterre,A N K L E T E R R E
BFM,dessusditz,T E S S U S T I T S
BFM,indicion,I N T I S I O N
BFM,affin,A F F I N
BFM,et,E T
BFM,la,L A
BFM,leur,L E U R
BFM,Ludovic,L U T O F I S
BFM,à,A
BFM,usage,U S A SH E
BFM,nous,N O U S
BFM,a,A
BFM,sien,S I E N
BFM,autres,A U T R E S
BFM,trois,T R O I S
BFM,fu,F U
BFM,avoit,A F O I T
BFM,et,E T
BFM,et,E T
BFM,et,E T
BFM,de,T E
BFM,je,SH E
BFM,accointance,A K K O I N T A N S E
BFM,la,L A
BFM,aux,A U K S
BFM,argent,A R SH E N T
BFM,France,F R A N S E
BFM,Et,E T
BFM,terre,T E R R E
BFM,chansonnettes,SH A N S O N N E T T E S
BFM,de,T E
BFM,après,A P R E S
BFM,congié,K O N SH I E
BFM,une,U N E
BFM,de,T E
BFM,se,S E
BFM,eurent,E U R E N T
BFM,lors,L O R S
BFM,aucunces,A U K U N S E S
BFM,puis,P U I S
BFM,a,A
BFM,l',L
BFM,en,E N
Dante,se,S E
Dante,tuba,T U P A
Dante,sembiante,S E M P I A N T E
Dante,li,L I
Dante,animo,A N I M O
Dante,aguglia,A K U K L I A
Dante,"Idio,",I T I O
Dante,appellata,A P E L A T A
Dante,quei,K W E I
Dante,i,I
Dante,che,K E
Dante,convenevole,K O N F E N E F O L E
Dante,visaggio,F I S A SH I O
Dante,Sì,S I
Dante,Ma,M A
Dante,assale,A S A L E
Dante,è,E
Dante,ogni,O NY I
Dante,caro,K A R O
Dante,stupefatto,S T U P E F A T O
Dante,e,E
Dante,apparve,A P A R F E
Dante,affermo,A F E R M O
Dante,di mano in mano,T I M A N O I N M A N O
Dante,meco,M E K O
Dante,spera,S P E R A
Dante,la,L A
Dante,lo,L O
Dante,da,T A
Dante,temere,T E M E R E
Dante,allo,A L O
Dante,fa,F A
Dante,come,K O M E
Dante,storse,S T O R S E
Dante,l',L
Dante,chiamansi,K I A M A N S I
Dante,altri,A L T R I
Dante,che,K E
Dante,convienesi,K O N F I E N E S I
Dante,promettendo,P R O M E T E N T O
Dante,gentilissima,SH E N T I L I S I M A
Dante,sì,S I
Dante,come,K O M E
Dante,E,E
Dante,sussequentemente,S U S E K W E N T E M E N T E
Dante,le,L E
Dante,la,L A
Dante,cosa,K O S A
Dante,d',T
Dante,e,E
Dante,io,I O
Dante,che,K E
Dante,degne,T E NY E
Dante,lo,L O
Dante,come,K O M E
Dante,studio,S T U T I O
Dante,noi,N O I
Dante,fu,F U
Dante,dalli,T A L I
Dante,si,S I
Dante,e,E
Dante,geometria,SH E O M E T R I A
Dante,calore,K A L O R E
Dante,ch',K
Dante,tu,T U
Dante,ch',K
Dante,de,T E
Dante,non,N O N
Dante,perché,P E R K E
Dante,Gorgón,K O R K O N
Dante,I',I
Dante,lunga,L U N K A
Dante,l',L
Dante,dalli,T A L I
Dante,adita,A T I T A
Dante,Scienza,SH I E N T S A
Dante,giardin,SH I A R T I N
Dante,al,A L
Dante,da,T A
Dante,è,E
Dante,gelo,SH E L O
Dante,verso,F E R S O
Dante,"crucciato,",K R U SH I A T O
Dante,generazione,SH E N E R A T S I O N E
Dante,li,L I
Dante,poi:,P O I
Dante,io,I O
Dante,trai,T R A I
Dante,partesi,P A R T E S I
Dante,è,E
Dante,che,K E
Dante,a,A
Dante,in,I N
Dante,stende,S T E N T E
Dante,conoscea,K O N O SH E A
Dante,distinzione,T I S T I N T S I O N E
Dante,O,O
Dante,cammino,K A M I N O
Dante,difende,T I F E N T E
Dante,pigliare,P I K L I A R E
Dante,in,I N
Dante,smozzicate,S M O T S I K A T E
Dante,Cristo,K R I S T O
Dante,Eneidos,E N E I T O S
Dante,là,L A
Dante,sembianti,S E M P I A N T I
Dante,è,E
Dante,'l,L
Dante,fiamma,F I A M A
Dante,in mezzo,I N M E T S O
Dante,procedetter,P R O SH E T E T E R
Dante,tanto,T A N T O
Dante,Fa,F A
Dante,E,E
Dante,parte,P A R T E
Dante,nel,N E L
Dante,sul,S U L
Dante,Dov',T O F
Dante,ferrarese,F E R A R E S E
Dante,chiedesse.,K I E T E S E
Dante,tremando,T R E M A N T O
Dante,le,L E
Dante,diafano,T I A F A N O
Dante,suo,S U O
Dante,ragione,R A SH I O N E
Dante,suo,S U O
Dante,del,T E L
Dante,t',T
Dante,è,E
Dante,quali,K W A L I
Dante,pria,P R I A
Dante,e,E
Dante,però,P E R O
Dante,donna,T O N A
Dante,l',L
Dante,altre,A L T R E
Dante,parte,P A R T E
Dante,'l,L
Dante,che,K E
Dante,amo,A M O
Dante,gambe,K A M P E
Dante,fece,F E SH E
Dante,le,L E
Dante,giù,SH I U
Dante,vede,F E T E
Dante,e,E
Dante,ma',M A
Dante,Venus[so],F E N U S O
Dante,l',L
Dante,la,L A
Dante,possedendo,P O S E T E N T O
Dante,me,M E
Dante,molte,M O L T E
Dante, La,L A
Dante,suo,S U O
Dante,arbitrio,A R P I T R I O
Dante,sottigliarsi,S O T I K L I A R S I
Dante,una,U N A
Dante,tenda,T E N T A
Dante,puote,P U O T E
Dante,hae,H A E
Dante,prese,P R E S E
Dante,nomò,N O M O
Dante,lieve,L I E F E
Dante,avria,A F R I A
Dante,e,E
Dante,non,N O N
Dante,nell',N E L
Dante,della,T E L A
Dante,lungh',L U N K
Dante,sempr',S E M P R
Dante,'l,L
Dante,del,T E L
Dante,parte,P A R T E
Dante,nel,N E L
Dante,quinta,K W I N T A
Dante,Amor,A M O R
Dante,il,I L
Dante,allegato,A L E K A T O
Dante,come,K O M E
Dante,danni,T A N I
Dante,E,E
Dante,l',L
Dante,tesi,T E S I
Dante,prese,P R E S E
Dante,a,A
Dante,nel,N E L
Dante,bene,P E N E
Dante,costoro,K O S T O R O
Dante,farmi,F A R M I
Dante,che,K E
Dante,più,P I U
Dante,del,T E L
Dante,sì,S I
Dante,secondo,S E K O N T O
Dante,Adamo,A T A M O
Dante,al,A L
Dante,peccato,P E K A T O
Dante,e,E
Dante,la,L A
Latin,autem,A U T E M
Latin,medicina,M E T I C_FRONT I N A
Latin,nec,N E C_FRONT
Latin,vita,F I T A
Latin,suis,S U I S
Latin,mundi,M U N T I
Latin,quod,K W O T
Latin,et,E T
Latin,ipse,I P S E
Latin,medium,M E T I U M
Latin,reversus,R E F E R S U S
Latin,Procul,P R O K U L
Latin,sunt,S U N T
Latin,nec,N E C_FRONT
Latin,asino,A S I N O
Latin,et,E T
Latin,fere,F E R E
Latin,erat,E R A T
Latin,suffragio,S U F F R A G_FRONT I O
Latin,caput,K A P U T
Latin,Vorumque,F O R U M K W E
Latin,Quare,K W A R E
Latin,pre,P R E
Latin,Ungarie,U N K A R I E
Latin,tabulas,T A P U L A S
Latin,vos,F O S
Latin,est,E S T
Latin,et,E T
Latin,praeceptis,P R A E C_FRONT E P T I S
Latin,omnibus,O M N I P U S
Latin,illi,I L L I
Latin,notissimo,N O T I S S I M O
Latin,Quid,K W I T
Latin,carnis,K A R N I S
Latin,existimans,E K S I S T I M A N S
Latin,tantum,T A N T U M
Latin,sub,S U P
Latin,facile,F A C_FRONT I L E
Latin,ne,N E
Latin,Quid,K W I T
Latin,ipsam,I P S A M
Latin,dedit,T E T I T
Latin,caerimonias,K A E R I M O N I A S
Latin,tamquam,T A M K W A M
Latin,credent,K R E T E N T
Latin,si,S I
Latin,mihi,M I H I
Latin,philosophiam,F I L O S O F I A M
Latin,ipsis,I P S I S
Latin,percontantur,P E R K O N T A N T U R
Latin,et,E T
Latin,vel,F E L
Latin,iuveniliter,I U F E N I L I T E R
Latin,Hoc,H O C_FRONT
Latin,quia,K W I A
Latin,cautes,K A U T E S
Latin,regula,R E K U L A
Latin,omni,O M N I
Latin,esse,E S S E
Latin,com,K O M
Latin,eccentricos,E K C_FRONT E N T R I K O S
Latin,ignem,I K N E M
Latin,sancti,S A N K T I
Latin,quantum,K W A N T U M
Latin,an,A N
Latin,nostrum,N O S T R U M
Latin,more,M O R E
Latin,aromatum,A R O M A T U M
Latin,est,E S T
Latin,horum,H O R U M
Latin,ut,U T
Latin,solum,S O L U M
Latin,interim,I N T E R I M
Latin,mederi,M E T E R I
Latin,integram,I N T E K R A M
Latin,contemplari,K O N T E M P L A R I
Latin,Nota,N O T A
Latin,altissimis,A L T I S S I M I S
Latin,laedere,L A E T E R E
Latin,extricauero,E K S T R I K A U E R O
Latin,mensurabile,M E N S U R A P I L E
Latin,licentia,L I C_FRONT E N T I A
Latin,iactare,I A K T A R E
Latin,hoc,H O C_FRONT
Latin,quod,K W O T
Latin,adsciscunt,A T S C_FRONT I S K U N T
Latin,ipsam,I P S A M
Latin,habet,H A P E T
Latin,populus,P O P U L U S
Latin,animos,A N I M O S
Latin,ea,E A
Latin,quod,K W O T
Latin,quanta,K W A N T A
Latin,limine,L I M I N E
Latin,agat,A K A T
Latin,plus,P L U S
Latin,tantundem,T A N T U N T E M
Latin,usus,U S U S
Latin,uideri,U I T E R I
Latin,Est,E S T
Latin,ab,A P
Latin,est,E S T
Latin,emisit,E M I S I T
Latin,vulgare,F U L K A R E
Latin,plus,P L U S
Latin,exponere,E K S P O N E R E
Latin,squalida,S K W A L I T A
Latin,Rupella,R U P E L L A
Latin,ad,A T
Latin,cum,K U M
Latin,beatam,P E A T A M
Latin,coruus,K O R U U S
Latin,Penis,P E N I S
Latin,et,E T
Latin,vero,F E R O
Latin,tanquam,T A N K W A M
Latin,sub,S U P
Latin,nepotem,N E P O T E M
Latin,deteriora,T E T E R I O R A
Latin,Ipse,I P S E
Latin,mundo,M U N T O
Latin,pietatis,P I E T A T I S
Latin,sanguinis,S A N K U I N I S
Latin,sub,S U P
Latin,ne,N E
Latin,flammis,F L A M M I S
Latin,per,P E R
Latin,meroque,M E R O K W E
Latin,peto,P E T O
Latin,qui,K W I
Latin,eorum,E O R U M
Latin,si,S I
Latin,in,I N
Latin,quod,K W O T
Latin,relicta,R E L I K T A
Latin,honestas,H O N E S T A S
Latin,sicci,S I K C_FRONT I
Latin,impertiunt,I M P E R T I U N T
Latin,sodalium,S O T A L I U M
Latin,quid,K W I T
Latin,Hoc,H O C_FRONT
Latin,igitur,I G_FRONT I T U R
Latin,qui,K W I
Latin,ne,N E
Latin,arrogent,A R R O G_FRONT E N T
Latin,tenet,T E N E T
Latin,incaustum,I N K A U S T U M
Latin,Dicebantur,T I C_FRONT E P A N T U R
Latin,molis,M O L I S
Latin,se,S E
Latin,induit,I N T U I T
Latin,duo,T U O
Latin,Cum,K U M
Latin,coloribus,K O L O R I P U S
Latin,veste,F E S T E
Latin,prout,P R O U T
Latin,capite,K A P I T E
Latin,pro,P R O
Latin,declaravit,T E K L A R A F I T
Latin,Libenter,L I P E N T E R
Latin,voluptates,F O L U P T A T E S
Latin,monetis,M O N E T I S
Latin,spiritualia,S P I R I T U A L I A
Latin,Ca,K A
Latin,latium,L A T I U M
Latin,coxam,K O K S A M
Latin,eris,E R I S
Latin,ingredi,I N K R E T I
Latin,praedictis,P R A E T I K T I S
Latin,est,E S T
Latin,si,S I
Latin,ille,I L L E
Latin,est,E S T
Latin,amore,A M O R E
Latin,naturam,N A T U R A M
Latin,propria,P R O P R I A
Latin,attigi,A T T I G_FRONT I
Latin,alterum,A L T E R U M
Latin,nos,N O S
Latin,de,T E
Latin,ad,A T
Latin,prope,P R O P E
Latin,Principem,P R I N C_FRONT I P E M
Latin,finem,F I N E M
Latin,prefatam,P R E F A T A M
Latin,fuit,F U I T
Latin,melioris,M E L I O R I S
Latin,patieris,P A T I E R I S
Latin,erat,E R A T
Latin,interim,I N T E R I M
Latin,subclaudicare,S U P K L A U T I K A R E
Latin,mediocres,M E T I O K R E S
Latin,ibi,I P I
Latin,condendis,K O N T E N T I S
Latin,uero,U E R O
Latin,debemus,T E P E M U S
Latin,erit,E R I T
Latin,portam,P O R T A M
Latin,arbres,A R P R E S
Latin,operum,O P E R U M
